# TODO: Alphebatize this entire list.. yeah. good luck. But it matters.

#####################
# Special Countries #
#####################

XUE = "countries/xue.txt"

HNG = "countries/hanguo2.txt"
RGO = "countries/ruiguo.txt"
XGG = "countries/xiaoguoguo.txt"
BOG = "countries/boguo.txt"
GUI = "countries/gui.txt"
HUR = "countries/huan.txt"
JIA = "countries/jiaguo.txt"
JIR = "countries/jirong.txt"
MZR = "countries/mianzhurong.txt"
LNG = "countries/liangguo.txt"
QIA = "countries/qiang.txt"
LSS = "countries/lishanshi.txt"
XSG = "countries/xishen.txt"
PXS = "countries/pengxishi.txt"
MJR = "countries/maojinrong.txt"
#河南地区诸侯
DAG = "countries/daiguo2.txt"
DBG = "countries/dongbugeng.txt"
DGG = "countries/dongguoguo.txt"
FGO = "countries/fanguo.txt"
GNG = "countries/gongguo.txt"
GUO = "countries/guoguo.txt"
HAG = "countries/huaguo.txt"
JOG = "countries/jiaoguo2.txt"
KUA = "countries/kuaiguo.txt"
LIA = "countries/liaoguo1.txt"
NYA = "countries/nanyan.txt"
WEN = "countries/wenguo.txt"
XBG = "countries/xibugeng.txt"
XAO = "countries/Xiao.txt"
XNC = "countries/xiangguo2.txt"
YIN = "countries/yingguo1.txt"
YUA = "countries/yuanguo.txt"
YOG = "countries/yongguo2.txt"
ZHG = "countries/Zhouguo.txt"
DEG = "countries/dengguo.txt"
EGU = "countries/erguo.txt"
FAG = "countries/fangguo.txt"
GUW = "countries/guguo2.txt"
HEN = "countries/zhenguo.txt"
HUA = "countries/Huangguo.txt"
JAG = "countries/jiangguo1.txt"
JIO = "countries/jiaoguo1.txt"
JUN = "countries/junguo.txt"
KUI = "countries/kuiguo.txt"
LAO = "countries/liaoguo2.txt"
LUK = "countries/luguo3.txt"
LUO = "countries/luoguo.txt"
QUG = "countries/quanguo.txt"
RUO = "countries/ruoguo.txt"
YON = "countries/yongguo1.txt"
YUN = "countries/yunguo.txt"
DUN = "countries/dunguo.txt"
JNG = "countries/jiangguo2.txt"
LIU = "countries/liu.txt"
SHK = "countries/shuguo.txt"
SLG = "countries/shuliao.txt"
SYG = "countries/shuyong.txt"
XGU = "countries/gongxian.txt"
XIG = "countries/xiguo.txt"
YAG = "countries/yangguo1.txt"
YIC = "countries/yingguo2.txt"
HNX = "countries/hanguo3.txt"
ZHL = "countries/zhongli.txt"
BAO = "countries/baoguo.txt"
JUK = "countries/juguu.txt"
MIO = "countries/miao.txt"
ZUO = "countries/zuoguo.txt" #Baima
ZKG = "countries/zangke.txt"
LYU = "countries/LacViet.txt"
XOU = "countries/xiou.txt"
YYG = "countries/yangyue.txt"
LHU = "countries/linhu.txt"
HZS = "countries/Hezongshi.txt"
XHM = "countries/xiuhun.txt"
JSG = "countries/jishihouguo.txt"
HNW = "countries/hanwang.txt"
XCW = "countries/xichubawang.txt"
YOW = "countries/yongwang.txt"
SAI = "countries/saiwang.txt"
DIW = "countries/diwang.txt"
SCW = "countries/henanwang.txt"
LJW = "countries/linjiangwang.txt"
JJW = "countries/jiujiangwang.txt"
YNW = "countries/yinwang.txt"
CSW = "countries/changshanwang.txt"
HSW = "countries/hengshanwang.txt"
JDW = "countries/jiaodongwang.txt"
JBW = "countries/jibeiwang.txt"
LDW = "countries/liaodongwang.txt"
BEI = "countries/beiguo.txt"
GUA = "countries/guanguo.txt"

#china
ICH	= "countries/China.txt"
XIN = "countries/Xinchao.txt"
CAO	= "countries/CaoWei.txt"
SUW	= "countries/SunWu.txt"
SUH	= "countries/ShuHan.txt"
QIN	= "countries/Qin.txt"
JIN	= "countries/Jin.txt"
YAN	= "countries/Yan.txt"
QII	= "countries/Qi.txt"
LUU	= "countries/Lu.txt"
WEI	= "countries/Wei.txt"
ZHO	= "countries/Zhou.txt"
ZHA	= "countries/Zhao.txt"
HAN	= "countries/Han.txt"
SON	= "countries/Song.txt"
CAI	= "countries/Cai.txt"
CHU	= "countries/Chu.txt"
WUU	= "countries/Wu.txt"
ZHE	= "countries/Zhen.txt"
CHN	= "countries/Cheng.txt"
YUE	= "countries/Yue.txt"
WEY	= "countries/Wey.txt"
CAA	= "countries/Cao.txt"
XUU	= "countries/Xu.txt"
JUU	= "countries/Ju.txt"
SHE	= "countries/Shen.txt"
ZHU	= "countries/Zhulou.txt"
ZON	= "countries/Zhongshan.txt"
ZOU	= "countries/Zhoulai.txt"
TGN	= "countries/Teng.txt"
PII	= "countries/Pi.txt"
GUM	= "countries/Gumie.txt"
NNM	= "countries/Nanman.txt"
SHU	= "countries/Shu.txt"
BAA	= "countries/Ba.txt"
BOO	= "countries/Bo.txt"
BII	= "countries/Bi.txt"
QIO	= "countries/Qiongdu.txt"
NAN	= "countries/Nanyue.txt"
AUC	= "countries/AuLac.txt"
MNY	= "countries/Minyue.txt"
DIA	= "countries/Dian.txt"
KUN	= "countries/Kunming.txt"
YEL	= "countries/Yelang.txt"
GOU	= "countries/Gouding.txt"
GAA = "countries/Ganyue.txt"
SHY = "countries/Shanyue.txt"
OUY = "countries/Ouyue.txt"

#################
# East Steppe	#
#################
XIO	= "countries/Xiongnu.txt"
HUY	= "countries/Huyan.txt"
LNN	= "countries/Lan.txt"
LUA	= "countries/Luandi.txt"
QIU	= "countries/Qiulin.txt"
SUB	= "countries/Suibu.txt"
DII	= "countries/Di.txt"
XIX	= "countries/Xianbei.txt"
TUO	= "countries/Tuoba.txt"
ASC	= "countries/Aschina.txt"
AVR	= "countries/Avari.txt"
DON	= "countries/Donghu.txt"
SSH	= "countries/Shushen.txt"
YIL	= "countries/Yilou.txt"
QUU	= "countries/Quanrong.txt"
YUZ	= "countries/Yuezhi.txt"
TOC	= "countries/Tocharoi.txt"
WUS	= "countries/Wusun.txt"
KAC	= "countries/Kaschgar.txt"
HOT	= "countries/Hotan.txt"
SHA	= "countries/Shanshan.txt"
KUQ	= "countries/Kuqa.txt"
KRX	= "countries/Karaxahr.txt"
TUF	= "countries/Turfan.txt"
#tarim basin
TB1 = "countries/Aksu.txt"
TB2 = "countries/Luntai.txt"
TB4 = "countries/Niya.txt"
TB5 = "countries/Keriya.txt"
TB6 = "countries/Yarkand.txt"
TB7 = "countries/Tumshuk.txt"
#proto-turks
PT3 = "countries/Dingling.txt" #unifier tag. Around 4th century united all small tags into 1 tribal federation ("Dingling-Go"), in 201 bc killed by Xionghnu. After that Gokun (kyrgiz) moved souther to capture dinglings;
PT4 = "countries/Gaoche.txt" #between tele and dingling
PT6 = "countries/Hunyu.txt" #location unknown
PT7 = "countries/Gokun.txt" #proto-uygurs, most northern, north east  altai, at the headwaters of the Yenisei around Tannu Uriankhai, border both turks and xianbei
PT8 = "countries/DiLi.txt" #"red Di?, migrants from China barbarians" probably most south east neear Ashina
PT9 = "countries/Qushe.txt" #location unknown
P10 = "countries/Hujie.txt" #west from turks at Irtysh river between them and arimaspes and alans; formed tribal kingdom at 2th century? when xiongnu kileld dingling confed
P11 = "countries/Xinli.txt" #location unknown; also they are Xueyantuo, appeared in 7th century again;
P12 = "countries/Yizhan.txt" #also Fufuluo later. North of Karaxahr and Turfan after Wusun moved west in 3-2 century bc seems?
P13 = "countries/Helan.txt" #near Alashan mountains? southern hiongnu; also Alat,  Ala-at, Ala, Alachin, Alagchin, Alchin, Alchi, Alayontli, Ulayundluğ (اُوﻻيُنْدْلُغْ) ("piebald horse", pinto); Boma 駁馬 or 駮馬 "piebald horse", Helai 賀賴, Helan 賀蘭, Hela 曷剌, Bila 弊剌[a])
HUN = "countries/UiBeigo.txt" #proto-Ugrian tribal kingdom with strong metalurgy
WTZ = "countries/Wutanzili.txt" #isolated old tocharian citystate?
XT1 = "countries/XioHu.txt" # western Hu - used for other tag now
SRU = "countries/Sauromati.txt"
YNK = "countries/Yankai.txt" #Upper Aorsi state, more powerful and rich from trade

#########
# Tibet	#
#########
ZHN = "countries/Zhangzhung.txt"

#Korea#

GOJ = "countries/Gojoseon.txt"
CIN = "countries/Chin.txt"
GOG = "countries/Goguryeo.txt"
BAE = "countries/Baekje.txt"
SLL = "countries/Silla.txt"
GYA = "countries/Gaya.txt"
LEL = "countries/Lelang.txt"
BUY = "countries/Buyeo.txt"
YEE = "countries/Ye.txt"
OKJ = "countries/Okjeo.txt"
YEM = "countries/Yemaek.txt"
KO1 = "countries/Tamna.txt"
KO2 = "countries/Zhenfan.txt"
KO3 = "countries/Lintun.txt"
KO4 = "countries/Dongye.txt"
KO5 = "countries/Xuantu.txt"
KO6 = "countries/Mahan.txt"
KO7 = "countries/Jinhan.txt"
KO8 = "countries/Samhan.txt"
KO9 = "countries/Byeonhan.txt"
KR1 = "countries/Dongokjeo.txt"
KR2 = "countries/Sinbunhwal.txt"
KR3 = "countries/Sangoe.txt"
KR4 = "countries/Sinheun.txt"
KR5 = "countries/Guyo.txt"
KR6 = "countries/Burun.txt"
KR7 = "countries/Guso.txt"
KR8 = "countries/Illan.txt"
KR9 = "countries/Gijeo.txt"
KI1 = "countries/Saro.txt"
KI2 = "countries/Yeamhae.txt"
KI3 = "countries/Guya.txt"
KI4 = "countries/Gamno.txt"
KI5 = "countries/Nangno.txt"
KI6 = "countries/Chori.txt"
JOM = "countries/Jomon.txt"
NHN = "countries/Nihhon.txt"


NI1 = "countries/Authariatae.txt"
NI2 = "countries/Maezaei.txt"
NI3 = "countries/Catari.txt"
NI4 = "countries/Daesitiates.txt"
NI5 = "countries/Amantini.txt"
NI6 = "countries/Taurisci.txt"
NI7 = "countries/Tricornensis.txt"
NI8 = "countries/Deuri.txt"
SC2 = "countries/Aspamithareoi.txt"
SC3 = "countries/Paralates.txt"
SC4 = "countries/Aroteress.txt"

SRM = "countries/Savromatia.txt"
V4N = "countries/Venedi.txt"
S2M = "countries/ScythiaMinor.txt"
PEU = "countries/Peucini.txt"
G2P = "countries/Gepides.txt"


#Persian Satrapies
PS1 = "countries/Athura.txt"
PS2 = "countries/Transeuphratia.txt"
PS3 = "countries/Lesser Phrygia.txt"
PS4 = "countries/Hindush.txt"
PS5 = "countries/Amyrgoi.txt"

#Hellenistic Tags
EUM = "countries/Eumenes.txt"
ELY = "countries/Elymais.txt"
SSI = "countries/Susiana.txt"

KUX = "countries/Kunxi.txt" #filler tag

RCT = "countries/Racatae.txt"
BUI = "countries/Buri.txt"

#New_iberia
C1Q = "countries/Callaeci.txt"
B1Q = "countries/Bracari.txt"
V1Q = "countries/Baedunenses.txt"
I1Q = "countries/Cileni.txt"
T1Q = "countries/Tamagani.txt"
A1Q = "countries/Aebocosi.txt"
L1Q = "countries/LanciencesAsturi.txt"
ASQ = "countries/Asturia.txt" #formable
GLQ = "countries/Gallaecia.txt" #formable
CBQ = "countries/Cantabria.txt" #formable
